file,mean_rms_db,median_rms_db,std_rms_db,silence_ratio,num_frames,sr
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0001.wav,-48.176753997802734,-39.02643585205078,21.948482513427734,0.463452566096423,1286,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0002.wav,-45.01546096801758,-34.68095779418945,21.718029022216797,0.3747216035634744,1796,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0003.wav,-45.70547103881836,-34.8591194152832,22.783071517944336,0.38275636838667537,1531,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0004.wav,-47.738704681396484,-34.76551055908203,25.142475128173828,0.40816326530612246,1176,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0005.wav,-49.12271499633789,-36.140445709228516,25.104713439941406,0.3995749202975558,941,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0006.wav,-47.36391830444336,-37.27641296386719,22.266674041748047,0.4566249460509279,2317,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0007.wav,-47.536685943603516,-34.05272674560547,25.10765838623047,0.3777148253068933,1059,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0008.wav,-45.4287223815918,-33.014488220214844,24.429256439208984,0.359106529209622,1164,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0009.wav,-45.34476852416992,-34.139408111572266,23.06698226928711,0.37294332723948814,1641,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0010.wav,-45.131553649902344,-32.64069366455078,24.51395606994629,0.3360858794384806,1211,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0011.wav,-43.07683563232422,-31.416988372802734,23.728567123413086,0.32248342374924654,1659,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0102_0012.wav,-45.44924545288086,-31.881134033203125,26.319110870361328,0.3299798792756539,994,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0001.wav,-46.45209503173828,-35.754615783691406,24.174856185913086,0.39516702203269366,1407,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0003.wav,-44.32501983642578,-34.82020568847656,23.450279235839844,0.3782747603833866,1565,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0004.wav,-45.08797073364258,-34.195255279541016,24.435306549072266,0.4031922276197085,1441,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0005.wav,-44.380897521972656,-33.892921447753906,22.184816360473633,0.40842618384401114,2872,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0006.wav,-42.507503509521484,-32.83674240112305,23.23738670349121,0.38603603603603603,2220,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0007.wav,-44.32003402709961,-31.52581024169922,25.952241897583008,0.36656671664167917,1334,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0009.wav,-43.40812683105469,-30.509014129638672,25.778650283813477,0.34435049961568026,1301,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0010.wav,-46.84369659423828,-36.869422912597656,23.717205047607422,0.4284727021423635,1447,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0011.wav,-42.056243896484375,-30.978429794311523,25.538549423217773,0.32117920868890615,1289,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0103_0012.wav,-40.34804153442383,-28.562471389770508,25.240102767944336,0.29188384214445273,1343,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0002.wav,-46.31407928466797,-30.720443725585938,28.354726791381836,0.3512064343163539,1119,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0003.wav,-44.85873794555664,-29.910526275634766,27.502593994140625,0.3278319579894974,1333,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0004.wav,-49.46076583862305,-31.594322204589844,29.473472595214844,0.38424591738712777,1041,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0005.wav,-41.30126953125,-29.224952697753906,24.3773193359375,0.2836573074154068,1389,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0007.wav,-47.82145690917969,-32.18939208984375,28.37421989440918,0.3691786621507197,1181,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0008.wav,-44.12202072143555,-30.260963439941406,27.002775192260742,0.3136729222520107,1492,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0009.wav,-52.00521469116211,-32.917869567871094,30.002023696899414,0.40826612903225806,992,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0010.wav,-48.551902770996094,-31.209274291992188,29.14042091369629,0.36363636363636365,1221,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0011.wav,-41.61907958984375,-29.87411880493164,24.90384864807129,0.2738007380073801,1355,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0104_0012.wav,-45.35169982910156,-30.825740814208984,27.765541076660156,0.3091042584434655,1362,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0001.wav,-42.99363708496094,-37.57437515258789,13.38090705871582,0.34748010610079577,754,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0002.wav,-42.70376205444336,-38.17381286621094,12.49777889251709,0.35337726523887975,1214,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0003.wav,-43.53131866455078,-38.99559783935547,12.370840072631836,0.4241001564945227,1278,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0004.wav,-44.57561111450195,-38.305274963378906,14.5057954788208,0.36430834213305174,947,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0005.wav,-46.654205322265625,-38.60989761352539,16.879980087280273,0.43478260869565216,621,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0006.wav,-45.461212158203125,-39.23247528076172,14.284815788269043,0.45161290322580644,1054,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0007.wav,-43.11581802368164,-38.36956787109375,13.92972183227539,0.36909871244635195,932,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0008.wav,-44.43287658691406,-38.85862731933594,13.97658920288086,0.4260016353229763,1223,16000
HD-Track2-train\HD-Track2-train-zh\Follow-up Questions\0105_0009.wav,-44.428253173828125,-39.44542694091797,13.402606964111328,0.4456706281833616,1178,16000
