scenario,filename,duration_sec
Follow-up Questions,0001_0002_add.wav,28.262875
Follow-up Questions,0001_0004_add.wav,27.5291875
Follow-up Questions,0001_0007_add.wav,26.2701875
Follow-up Questions,0001_0008_add.wav,27.823875
Follow-up Questions,0001_0009.wav,31.25
Follow-up Questions,0001_0010_add.wav,26.7701875
Follow-up Questions,0001_0011.wav,30.3100625
Follow-up Questions,0001_0018.wav,29.0
Follow-up Questions,0001_0022.wav,36.66
Follow-up Questions,0001_0044.wav,26.5200625
Follow-up Questions,0002_0002_add.wav,31.1430625
Follow-up Questions,0002_0004.wav,27.87
Follow-up Questions,0002_0005_add.wav,24.7820625
Follow-up Questions,0002_0006_add.wav,24.2259375
Follow-up Questions,0002_0008_add.wav,26.7163125
Follow-up Questions,0002_0020_add.wav,27.2530625
Follow-up Questions,0002_0025.wav,26.58
Follow-up Questions,0002_0039.wav,26.28
Follow-up Questions,0002_0047.wav,28.97
Follow-up Questions,0002_0052.wav,26.7900625
Follow-up Questions,0003_0004.wav,30.3000625
Follow-up Questions,0003_0004_add.wav,31.153875
Follow-up Questions,0003_0006_add.wav,23.675125
Follow-up Questions,0003_0010_add.wav,25.389625
Follow-up Questions,0003_0011_add.wav,28.8001875
Follow-up Questions,0003_0012.wav,27.1
Follow-up Questions,0003_0017_add.wav,27.0336875
Follow-up Questions,0003_0021.wav,30.5600625
Follow-up Questions,0003_0045.wav,28.19
Follow-up Questions,0003_0046.wav,27.32
Follow-up Questions,0004_0001.wav,29.2999375
Follow-up Questions,0004_0002.wav,31.2
Follow-up Questions,0004_0009_add.wav,35.500625
Follow-up Questions,0004_0014_add.wav,29.6591875
Follow-up Questions,0004_0015_add.wav,28.826125
Follow-up Questions,0004_0016_add.wav,26.2940625
Follow-up Questions,0004_0020_add.wav,26.6669375
Follow-up Questions,0004_0022.wav,29.1400625
Follow-up Questions,0004_0037.wav,32.4900625
Follow-up Questions,0004_0051.wav,27.83
Follow-up Questions,0005_0001_add.wav,26.168
Follow-up Questions,0005_0005_add.wav,30.319375
Follow-up Questions,0005_0007_add.wav,30.0288125
Follow-up Questions,0005_0014.wav,29.3600625
Follow-up Questions,0005_0016_add.wav,25.439375
Follow-up Questions,0005_0019.wav,27.6199375
Follow-up Questions,0005_0019_add.wav,27.3808125
Follow-up Questions,0005_0039.wav,26.8500625
Follow-up Questions,0005_0043.wav,26.9199375
Follow-up Questions,0005_0049.wav,28.3000625
Follow-up Questions,0006_0002_add.wav,31.439625
Follow-up Questions,0006_0004_add.wav,28.210625
Follow-up Questions,0006_0005_add.wav,27.458375
Follow-up Questions,0006_0015_add.wav,27.0508125
Follow-up Questions,0006_0020_add.wav,26.31575
Follow-up Questions,0006_0030.wav,27.05
Follow-up Questions,0006_0040.wav,26.780125
Follow-up Questions,0006_0044.wav,25.13
Follow-up Questions,0006_0046.wav,29.99
Follow-up Questions,0006_0051.wav,23.72
Follow-up Questions,0007_0006_add.wav,28.34775
Follow-up Questions,0007_0012_add.wav,29.976125
Follow-up Questions,0007_0016_add.wav,24.6953125
Follow-up Questions,0007_0018_add.wav,29.8030625
Follow-up Questions,0007_0020.wav,28.3500625
Follow-up Questions,0007_0020_add.wav,28.2888125
Follow-up Questions,0007_0025.wav,25.2900625
Follow-up Questions,0007_0031.wav,32.4499375
Follow-up Questions,0007_0042.wav,28.9200625
Follow-up Questions,0007_0054.wav,28.33
Follow-up Questions,0008_0006_add.wav,27.4104375
Follow-up Questions,0008_0008_add.wav,26.6036875
Follow-up Questions,0008_0013_add.wav,28.7188125
Follow-up Questions,0008_0015_add.wav,27.8888125
Follow-up Questions,0008_0017_add.wav,28.3820625
Follow-up Questions,0008_0034.wav,24.4200625
Follow-up Questions,0008_0038.wav,25.83
Follow-up Questions,0008_0039.wav,26.72
Follow-up Questions,0008_0042.wav,27.2200625
Follow-up Questions,0008_0053.wav,24.96
Follow-up Questions,0009_0001_add.wav,24.629
Follow-up Questions,0009_0003_add.wav,26.376125
Follow-up Questions,0009_0004_add.wav,27.6553125
Follow-up Questions,0009_0006.wav,33.3
Follow-up Questions,0009_0008_add.wav,26.1781875
Follow-up Questions,0009_0017_add.wav,28.4488125
Follow-up Questions,0009_0019.wav,28.11
Follow-up Questions,0009_0021.wav,29.3100625
Follow-up Questions,0009_0027.wav,28.9699375
Follow-up Questions,0009_0050.wav,29.7000625
Follow-up Questions,0010_0001_add.wav,26.502875
Follow-up Questions,0010_0002.wav,29.69
Follow-up Questions,0010_0011_add.wav,25.606125
Follow-up Questions,0010_0012_add.wav,27.0985625
Follow-up Questions,0010_0018_add.wav,23.518
Follow-up Questions,0010_0019_add.wav,27.3388125
Follow-up Questions,0010_0030.wav,33.5300625
Follow-up Questions,0010_0033.wav,31.3900625
Follow-up Questions,0010_0035.wav,26.73
Follow-up Questions,0010_0039.wav,29.3599375
Follow-up Questions,clean_0001_0002_add.wav,28.262875
Follow-up Questions,clean_0001_0004_add.wav,27.5291875
Follow-up Questions,clean_0001_0007_add.wav,26.2701875
Follow-up Questions,clean_0001_0008_add.wav,27.823875
Follow-up Questions,clean_0001_0009.wav,31.26
Follow-up Questions,clean_0001_0010_add.wav,26.7701875
Follow-up Questions,clean_0001_0011.wav,30.32
Follow-up Questions,clean_0001_0018.wav,29.01
Follow-up Questions,clean_0001_0022.wav,36.67
Follow-up Questions,clean_0001_0044.wav,26.53
Follow-up Questions,clean_0002_0002_add.wav,31.1430625
Follow-up Questions,clean_0002_0004.wav,27.88
Follow-up Questions,clean_0002_0005_add.wav,24.7820625
Follow-up Questions,clean_0002_0006_add.wav,24.2259375
Follow-up Questions,clean_0002_0008_add.wav,26.7163125
Follow-up Questions,clean_0002_0020_add.wav,27.2530625
Follow-up Questions,clean_0002_0025.wav,26.59
Follow-up Questions,clean_0002_0039.wav,26.29
Follow-up Questions,clean_0002_0047.wav,28.98
Follow-up Questions,clean_0002_0052.wav,26.8
Follow-up Questions,clean_0003_0004.wav,30.31
Follow-up Questions,clean_0003_0004_add.wav,31.153875
Follow-up Questions,clean_0003_0006_add.wav,23.675125
Follow-up Questions,clean_0003_0010_add.wav,25.389625
Follow-up Questions,clean_0003_0011_add.wav,28.8001875
Follow-up Questions,clean_0003_0012.wav,27.11
Follow-up Questions,clean_0003_0017_add.wav,27.0336875
Follow-up Questions,clean_0003_0021.wav,30.57
Follow-up Questions,clean_0003_0045.wav,28.2
Follow-up Questions,clean_0003_0046.wav,27.33
Follow-up Questions,clean_0004_0001.wav,29.31
Follow-up Questions,clean_0004_0002.wav,31.21
Follow-up Questions,clean_0004_0009_add.wav,35.500625
Follow-up Questions,clean_0004_0014_add.wav,29.6591875
Follow-up Questions,clean_0004_0015_add.wav,28.826125
Follow-up Questions,clean_0004_0016_add.wav,26.2940625
Follow-up Questions,clean_0004_0020_add.wav,26.6669375
Follow-up Questions,clean_0004_0022.wav,29.15
Follow-up Questions,clean_0004_0037.wav,32.5
Follow-up Questions,clean_0004_0051.wav,27.84
Follow-up Questions,clean_0005_0001_add.wav,26.168
Follow-up Questions,clean_0005_0005_add.wav,30.319375
Follow-up Questions,clean_0005_0007_add.wav,30.0288125
Follow-up Questions,clean_0005_0014.wav,29.37
Follow-up Questions,clean_0005_0016_add.wav,25.439375
Follow-up Questions,clean_0005_0019.wav,27.63
Follow-up Questions,clean_0005_0019_add.wav,27.3808125
Follow-up Questions,clean_0005_0039.wav,26.86
Follow-up Questions,clean_0005_0043.wav,26.93
Follow-up Questions,clean_0005_0049.wav,28.31
Follow-up Questions,clean_0006_0002_add.wav,31.439625
Follow-up Questions,clean_0006_0004_add.wav,28.210625
Follow-up Questions,clean_0006_0005_add.wav,27.458375
Follow-up Questions,clean_0006_0015_add.wav,27.0508125
Follow-up Questions,clean_0006_0020_add.wav,26.31575
Follow-up Questions,clean_0006_0030.wav,27.06
Follow-up Questions,clean_0006_0040.wav,26.79
Follow-up Questions,clean_0006_0044.wav,25.14
Follow-up Questions,clean_0006_0046.wav,30.0
Follow-up Questions,clean_0006_0051.wav,23.73
Follow-up Questions,clean_0007_0006_add.wav,28.34775
Follow-up Questions,clean_0007_0012_add.wav,29.976125
Follow-up Questions,clean_0007_0016_add.wav,24.6953125
Follow-up Questions,clean_0007_0018_add.wav,29.8030625
Follow-up Questions,clean_0007_0020.wav,28.36
Follow-up Questions,clean_0007_0020_add.wav,28.2888125
Follow-up Questions,clean_0007_0025.wav,25.3
Follow-up Questions,clean_0007_0031.wav,30.77
Follow-up Questions,clean_0007_0042.wav,28.93
Follow-up Questions,clean_0007_0054.wav,28.34
Follow-up Questions,clean_0008_0006_add.wav,27.4104375
Follow-up Questions,clean_0008_0008_add.wav,26.6036875
Follow-up Questions,clean_0008_0013_add.wav,28.7188125
Follow-up Questions,clean_0008_0015_add.wav,27.8888125
Follow-up Questions,clean_0008_0017_add.wav,28.3820625
Follow-up Questions,clean_0008_0034.wav,24.43
Follow-up Questions,clean_0008_0038.wav,25.84
Follow-up Questions,clean_0008_0039.wav,26.73
Follow-up Questions,clean_0008_0042.wav,27.23
Follow-up Questions,clean_0008_0053.wav,24.97
Follow-up Questions,clean_0009_0001_add.wav,24.629
Follow-up Questions,clean_0009_0003_add.wav,26.376125
Follow-up Questions,clean_0009_0004_add.wav,27.6553125
Follow-up Questions,clean_0009_0006.wav,33.31
Follow-up Questions,clean_0009_0008_add.wav,26.1781875
Follow-up Questions,clean_0009_0017_add.wav,28.4488125
Follow-up Questions,clean_0009_0019.wav,28.12
Follow-up Questions,clean_0009_0021.wav,29.32
Follow-up Questions,clean_0009_0027.wav,28.98
Follow-up Questions,clean_0009_0050.wav,29.71
Follow-up Questions,clean_0010_0001_add.wav,26.502875
Follow-up Questions,clean_0010_0002.wav,29.7
Follow-up Questions,clean_0010_0011_add.wav,25.606125
Follow-up Questions,clean_0010_0012_add.wav,27.0985625
Follow-up Questions,clean_0010_0018_add.wav,23.518
Follow-up Questions,clean_0010_0019_add.wav,27.3388125
Follow-up Questions,clean_0010_0030.wav,33.54
Follow-up Questions,clean_0010_0033.wav,31.4
Follow-up Questions,clean_0010_0035.wav,26.74
Follow-up Questions,clean_0010_0039.wav,29.37
Negation or Dissatisfaction,0001_0002.wav,25.8200625
Negation or Dissatisfaction,0001_0004.wav,23.7300625
Negation or Dissatisfaction,0001_0005_add.wav,23.208
Negation or Dissatisfaction,0001_0011_add.wav,21.9198125
